id;nombre
1;Unidad Educativa Kennedy
2;Escuela Niños
3;Safari Kids Centro de Educación Inicial
4;Escuela Uneda
5;Centro Educativo los Pinos
6;Centro Educativo Cumorah
7;Centro de educación inicial einstein
8;Centro de Arte White
9;Centro De Educación Inicial La Ronda
10;Mundo De Juguete
11;Centro Educativo Nova
12;Centro de desarrollo infantil la Guarde
13;Centro Infantil Mis Enanitos
14;Centro de Educacion Inicial - GOTITAS DE AMOR
15;Casita Mia Estimulacion E Intervención Temprana
16;Centro de Desarrollo Infantil Crayola
17;CENTRO DE EDUCACION INICIAL LUIS CORDERO
18;Estrellitas Creativas
19;Activa Kids
20;Centro Infantil CRAYOLA
21;Pitufitos
22;Jardín ABC
23;CDI Casita de Caramelo
24;Escuela Carlos Crespi
25;CEDEI - Centers for Interamerican Studies - Centro de Estudios Interamericanos
