id;nombre
1;Centro de Salud Carlos Elizalde
2;Clinica Santa Ines
3;Hospital Monte Sinai
4;Hospital San Juan de Dios
5;Hospital Militar
6;Hospistal Vicente Corral Moscoso
7;Centro de Reposo y Adicciones
8;IESS
9;Hospital Regional José Carrasco Arteaga
10;Hospital Universitario del Rio
11;Unidad Renal Baxter Cuenca
12;Clinica de Fracturas
13;Hospital Universitario Catolico 
14;Clinica Praxxel
15;Hospital San Martin de Porres
16;Clinica Latino
17;Hospital Bolivar
18;Hospital Mariano Estrella
19;Centro de Salud Baños
20;Hospital Moreno Vazquez
