id;nombre
1;Catedral de la Inmaculada Concepcion
2;Iglesia del Carmen de la Asuncion
3;Catedral Vieja de Cuenca
4;Iglesia de San Alfonso
5;Iglesia de San Francisco
6;Iglesia Santo Domingo
7;Iglesia Santo Cenaculo
8;Iglesia Maria Auxiliadora
9;Iglesia San Sebastian
10;Iglesia de la Merced
11;Iglesia de San Blass
12;Iglesia de San Roque
13;Iglesia San Jose
14;Iglesia Virgen del Bronce
15;Iglesia de todos los Santos
16;Parroquia San Juan Bosco
17;Basilica Catolica de la Santisima Trinidad
18;Iglesia Cristo Rey
19;Iglesia Catolica Maria Reina de la Paz
20;Iglesia Santisima Virgen de la Merced Turi
21;Iglesia de Fatima
22;Igesia San Carlos de Ricaurte
23;Iglesia Corazon  de Jesus
24;Iglesia Hermano Miguel de la Orquideas
25;Iglesia Catolica Santa Maria del el Vergel
26;Iglesia Santa Teresa de Jesus
27;Iglesia de Guzho
28;Virgen del Carmen
29;Iglesia de la Virgen de Guadalupe

