id;nombre
1;Parque Calderón
2;Parque de Las Américas
3;Parque San Blas
4;Parque La Paz
5;Parque de La "UNE"
6;Parque los Traviesos
7;Parque De La Luz
8;Parque Yanacauri
9;Parque de los Lagos
10;Parque La Republica
11;Parque Guatana
12;Parque curiquingue
13;Parque de la Madre
14;Parque El Paraíso
15;Parque de las Delicias
16;Parque Valladolid
17;Parque Iberia
18;Parque Tarqui Guzho
19;Megaparque Tarqui-Guzho
20;Parque Inclusivo Circo Social
21;Parque Quetzal (de los peces)
22;Parque el Dragón
23;Parque La Libertad
24;Parque San Marcos
25;Parque Las Candelas
26;Parque Gloria Astudillo
27;Parque el Recreo
28;Parque Tosi
29;Parque Los Alpes
30;Parque Lineal Kennedy
31;Parque Lienal Roma
